period,id,orderId,date,timestamp,symbol,type,price,amount,total,realizedPnl,marginCoin,fee,feeCoin,leverage,invest,category
period-00,8516693,718306204,21.05.2021 18:45:21,1621611921010,TRXUSD_PERP,BUY,0.08065,10,1239.9256,0,TRX,0.6199628,TRX,5,247.985120892746,f-coin-classic
period-00,8518909,718389465,21.05.2021 18:58:47,1621612727070,TRXUSD_PERP,BUY,0.07951,20,2515.4069,0,TRX,1.25770343,TRX,5,503.08137341215,f-coin-classic
period-00,8531369,718891742,21.05.2021 20:06:24,1621616784307,TRXUSD_PERP,BUY,0.07993,10,1251.0947,0,TRX,0.62554735,TRX,5,250.218941573878,f-coin-classic
period-00,8538258,719325791,21.05.2021 21:26:02,1621621562802,TRXUSD_PERP,BUY,0.07798,10,1282.3801,0,TRX,0.64119004,TRX,5,256.476019492178,f-coin-classic
period-00,8541330,719502851,21.05.2021 22:05:47,1621623947373,TRXUSD_PERP,BUY,0.07851,1,127.3723,0,TRX,0.06368615,TRX,5,25.4744618519934,f-coin-classic
period-00,8541331,719502851,21.05.2021 22:05:47,1621623947373,TRXUSD_PERP,BUY,0.07851,9,1146.3508,0,TRX,0.57317539,TRX,5,229.27015666794,f-coin-classic
period-00,8546942,719740291,21.05.2021 22:43:42,1621626222106,TRXUSD_PERP,BUY,0.07645,10,1308.0445,0,TRX,0.65402223,TRX,5,261.60889470242,f-coin-classic
period-00,8549761,719886706,21.05.2021 23:07:27,1621627647713,TRXUSD_PERP,BUY,0.0765,30,3921.5686,0,TRX,1.96078431,TRX,5,784.313725490196,f-coin-classic
period-00,8554071,720052723,21.05.2021 23:32:12,1621629132752,TRXUSD_PERP,BUY,0.07571,20,2641.6590,0,TRX,1.32082948,TRX,5,528.331792365606,f-coin-classic
period-00,8565922,720621814,22.05.2021 01:02:32,1621634552431,TRXUSD_PERP,BUY,0.07628,30,3932.8789,0,TRX,1.96643943,TRX,5,786.575773466178,f-coin-classic
period-00,8602494,723224195,22.05.2021 08:32:42,1621661562191,TRXUSD_PERP,BUY,0.07142,50,7000.8401,0,TRX,3.50042005,TRX,5,1400.16802016242,f-coin-classic
period-00,8687337,731057798,23.05.2021 11:00:50,1621756850687,TRXUSD_PERP,BUY,0.071,50,7042.2535,0,TRX,0.70422535,TRX,5,1408.45070422535,f-coin-classic
period-00,8721371,732841517,23.05.2021 15:27:12,1621772832437,TRXUSD_PERP,BUY,0.065,30,4615.3846,0,TRX,0.46153846,TRX,5,923.076923076924,f-coin-classic
period-00,8738837,732861938,23.05.2021 16:33:08,1621776788931,TRXUSD_PERP,BUY,0.06,20,3333.3333,0,TRX,0.33333333,TRX,5,666.666666666666,f-coin-classic
period-00,8919553,747579800,25.05.2021 11:58:59,1621933139719,TRXUSD_PERP,SELL,0.07676,300,39082.8557,2275.63721621,TRX,19.54142782,TRX,5,,f-coin-classic
period-00,9355774,795965750,03.06.2021 11:26:29,1622708789811,TRXUSD_PERP,SELL,0.08044,50,6215.8130,0,TRX,3.10790651,TRX,5,,f-coin-classic
period-00,9425003,804691148,05.06.2021 09:14:48,1622873688578,TRXUSD_PERP,BUY,0.0793,50,6305.1702,89.35721125,TRX,3.15258511,TRX,5,,f-coin-classic
period-00,9472567,811901047,07.06.2021 12:49:39,1623059379435,TRXUSD_PERP,SELL,0.07758,1,128.8992,0,TRX,0.0644496,TRX,5,,f-coin-classic
period-00,9472568,811901047,07.06.2021 12:49:39,1623059379435,TRXUSD_PERP,SELL,0.07758,39,5027.0688,0,TRX,2.51353441,TRX,5,,f-coin-classic
period-00,9472569,811901047,07.06.2021 12:49:39,1623059379435,TRXUSD_PERP,SELL,0.07756,60,7735.9464,0,TRX,3.86797318,TRX,5,,f-coin-classic
period-00,9504870,816543995,08.06.2021 10:24:22,1623137062238,TRXUSD_PERP,BUY,0.06999,2,285.7551,27.91681993,TRX,0.14287755,TRX,5,,f-coin-classic
period-00,9504871,816543995,08.06.2021 10:24:22,1623137062238,TRXUSD_PERP,BUY,0.07,98,14000.0000,1365.92389083,TRX,7,TRX,5,,f-coin-classic
period-01,192168390,13999583255,01.09.2021 20:47:11,1630518431934,ETHUSD_PERP,BUY,3721,1,0.00268744961031981,0,ETH,0.00000026,ETH,3,,f-coin-classic
period-01,192171656,13999668268,01.09.2021 20:49:29,1630518569087,ETHUSD_PERP,SELL,3721.42,1,0.00268714630436769,0,ETH,0.00000134,ETH,3,,f-coin-classic
period-01,229491818,21216855039,01.09.2021 22:31:25,1630524685605,BTCUSD_PERP,BUY,48350,500,1.03412616339193,0,BTC,0.00010341,BTC,5,,f-coin-signal
period-01,229494146,21216860156,01.09.2021 22:33:15,1630524795572,BTCUSD_PERP,BUY,48300,57,0.118012422360248,0,BTC,0.0000118,BTC,5,,f-coin-signal
period-01,229494147,21216860156,01.09.2021 22:33:15,1630524795572,BTCUSD_PERP,BUY,48300,243,0.503105590062112,0,BTC,0.00005031,BTC,5,,f-coin-signal
period-01,229495397,21216867233,01.09.2021 22:33:54,1630524834285,BTCUSD_PERP,BUY,48250,200,0.414507772020725,0,BTC,0.00004145,BTC,5,,f-coin-signal
period-01,229496149,21216869162,01.09.2021 22:34:14,1630524854836,BTCUSD_PERP,BUY,48200,49,0.101659751037344,0,BTC,0.00001016,BTC,5,,f-coin-signal
period-01,229496155,21216869162,01.09.2021 22:34:15,1630524855737,BTCUSD_PERP,BUY,48200,29,0.0601659751037344,0,BTC,0.00000601,BTC,5,,f-coin-signal
period-01,229496156,21216869162,01.09.2021 22:34:15,1630524855737,BTCUSD_PERP,BUY,48200,122,0.253112033195021,0,BTC,0.00002531,BTC,5,,f-coin-signal
period-01,229497542,21217019544,01.09.2021 22:35:02,1630524902032,BTCUSD_PERP,BUY,48150,200,0.415368639667705,0,BTC,0.00004153,BTC,5,,f-coin-signal
period-01,229500861,21217037192,01.09.2021 22:36:25,1630524985676,BTCUSD_PERP,BUY,48100,14,0.0291060291060291,0,BTC,0.00000291,BTC,5,,f-coin-signal
period-01,229501384,21217037192,01.09.2021 22:36:30,1630524990422,BTCUSD_PERP,BUY,48100,31,0.0644490644490644,0,BTC,0.00000644,BTC,5,,f-coin-signal
period-01,229501385,21217037192,01.09.2021 22:36:30,1630524990423,BTCUSD_PERP,BUY,48100,155,0.322245322245322,0,BTC,0.00003222,BTC,5,,f-coin-signal
period-01,229557450,21223125855,02.09.2021 01:37:34,1630535854353,BTCUSD_PERP,SELL,48331.6,922,1.90765461933807,0.00310899,BTC,0.00095382,BTC,5,,f-coin-signal
period-01,229557451,21223125855,02.09.2021 01:37:34,1630535854353,BTCUSD_PERP,SELL,48331.6,200,0.413807943457283,0.0006744,BTC,0.0002069,BTC,5,,f-coin-signal
period-01,229557452,21223125855,02.09.2021 01:37:34,1630535854353,BTCUSD_PERP,SELL,48331.6,200,0.413807943457283,0.0006744,BTC,0.0002069,BTC,5,,f-coin-signal
period-01,229557453,21223125855,02.09.2021 01:37:34,1630535854353,BTCUSD_PERP,SELL,48331.6,278,0.575193041405623,0.00093741,BTC,0.00028759,BTC,5,,f-coin-signal
period-01,230176295,21291894784,03.09.2021 01:06:11,1630620371373,BTCUSD_PERP,BUY,49807.9,92,0.18470965449256,0,BTC,0.00009235,BTC,5,,f-coin-signal
period-01,230176296,21291894784,03.09.2021 01:06:11,1630620371373,BTCUSD_PERP,BUY,49807.9,100,0.20077136357887,0,BTC,0.00010038,BTC,5,,f-coin-signal
period-01,230176297,21291894784,03.09.2021 01:06:11,1630620371373,BTCUSD_PERP,BUY,49807.9,100,0.20077136357887,0,BTC,0.00010038,BTC,5,,f-coin-signal
period-01,230176298,21291894784,03.09.2021 01:06:11,1630620371373,BTCUSD_PERP,BUY,49807.9,100,0.20077136357887,0,BTC,0.00010038,BTC,5,,f-coin-signal
period-01,230176299,21291894784,03.09.2021 01:06:11,1630620371373,BTCUSD_PERP,BUY,49807.9,8,0.0160617090863096,0,BTC,0.00000803,BTC,5,,f-coin-signal
period-01,230215495,21245146626,03.09.2021 03:34:24,1630629264101,BTCUSD_PERP,BUY,49100,128,0.260692464358452,0,BTC,0.00002606,BTC,5,,f-coin-signal
period-01,230215496,21245146626,03.09.2021 03:34:24,1630629264101,BTCUSD_PERP,BUY,49100,5,0.010183299389002,0,BTC,0.00000101,BTC,5,,f-coin-signal
period-01,230215497,21245146626,03.09.2021 03:34:24,1630629264101,BTCUSD_PERP,BUY,49100,5,0.010183299389002,0,BTC,0.00000101,BTC,5,,f-coin-signal
period-01,230215498,21245146626,03.09.2021 03:34:24,1630629264101,BTCUSD_PERP,BUY,49100,57,0.116089613034623,0,BTC,0.0000116,BTC,5,,f-coin-signal
period-01,230215499,21245146626,03.09.2021 03:34:24,1630629264101,BTCUSD_PERP,BUY,49100,64,0.130346232179226,0,BTC,0.00001303,BTC,5,,f-coin-signal
