id,orderId,date,timestamp,market,type,price,amount,total,fee,feeCoin,category,period,tradeType,baseCoin,note
53408887,390678980,18.05.2021 13:08:09,1621332489790,MATICUSDT,BUY,2.1543800000,10.0000000000,21.5438000000,0.0100000000,MATIC,spot-classic,period-00,opened,USDT,Стейкинг (Денис) недостача 247 монет
53414407,390704603,18.05.2021 13:13:55,1621332835476,MATICUSDT,BUY,2.1523900000,10.0000000000,21.5239000000,0.0100000000,MATIC,spot-classic,period-00,opened,USDT,Стейкинг (Денис) недостача 247 монет
53525742,391202126,18.05.2021 15:17:24,1621340244835,MATICUSDT,BUY,2.1137400000,10.0000000000,21.1374000000,0.0100000000,MATIC,spot-classic,period-00,opened,USDT,Стейкинг (Денис) недостача 247 монет
53641101,391619727,18.05.2021 16:30:22,1621344622928,MATICUSDT,BUY,2.0607700000,10.0000000000,20.6077000000,0.0100000000,MATIC,spot-classic,period-00,opened,USDT,Стейкинг (Денис) недостача 247 монет
56455846,392059644,19.05.2021 07:43:03,1621399383494,MATICUSDT,BUY,2.0000000000,10.0000000000,20.0000000000,0.0100000000,MATIC,spot-classic,period-00,opened,USDT,Стейкинг (Денис) недостача 247 монет
58803100,410005376,19.05.2021 15:47:37,1621428457263,MATICUSDT,BUY,1.9073300000,10.0000000000,19.0733000000,0.0100000000,MATIC,spot-classic,period-00,opened,USDT,Стейкинг (Денис) недостача 247 монет
58804179,410008707,19.05.2021 15:47:48,1621428468962,MATICUSDT,SELL,1.9023500000,9.9000000000,18.8332650000,0.0188332700,USDT,spot-classic,period-00,opened,USDT,Стейкинг (Денис) недостача 247 монет
59071443,410473416,19.05.2021 16:16:32,1621430192695,MATICUSDT,BUY,1.4934000000,35.2000000000,52.5676800000,0.0352000000,MATIC,spot-classic,period-00,opened,USDT,Стейкинг (Денис) недостача 247 монет
59071444,410473416,19.05.2021 16:16:32,1621430192701,MATICUSDT,BUY,1.4934000000,14.5000000000,21.6543000000,0.0145000000,MATIC,spot-classic,period-00,opened,USDT,Стейкинг (Денис) недостача 247 монет
59071445,410473416,19.05.2021 16:16:32,1621430192726,MATICUSDT,BUY,1.4934000000,123.7000000000,184.7335800000,0.1237000000,MATIC,spot-classic,period-00,opened,USDT,Стейкинг (Денис) недостача 247 монет
59071446,410473416,19.05.2021 16:16:32,1621430192729,MATICUSDT,BUY,1.4934000000,26.6000000000,39.7244400000,0.0266000000,MATIC,spot-classic,period-00,opened,USDT,Стейкинг (Денис) недостача 247 монет
288654896,2216538776,19.05.2021 17:16:49,1621433809404,BNBUSDT,BUY,330.8200000000,1.0000000000,330.8200000000,0.0007500000,BNB,test,period-00,?,USDT,(?) Закупка BNB за USDT
7049375,46053044,21.05.2021 18:24:46,1621610686945,TWTUSDT,BUY,0.5299000000,200.0000000000,105.9800000000,0.0002308000,BNB,spot-classic,period-00,opened,USDT,Спот-сделка классическая (не по сигналу) перевести в BTC
