"id","orderId","date","timestamp","symbol","type","price","amount","total","fee","feeCoin","category","period","tradeType","baseCoin","isShift","note"
"53408887","390678980","18.05.2021 13:08:09","1621332489790","MATICUSDT","BUY",2.15438,10,21.5438,0.0215841,"USDT","test","period-00","opened","USDT",0,"Стейкинг (Денис) недостача 243.7 монет"
"53414407","390704603","18.05.2021 13:13:55","1621332835476","MATICUSDT","BUY",2.15239,10,21.5239,0.021467200000000002,"USDT","test","period-00","opened","USDT",0,"Стейкинг (Денис) недостача 243.7 монет"
"53525742","391202126","18.05.2021 15:17:24","1621340244835","MATICUSDT","BUY",2.11374,10,21.1374,0.0211112,"USDT","test","period-00","opened","USDT",0,"Стейкинг (Денис) недостача 243.7 монет"
"53641101","391619727","18.05.2021 16:30:22","1621344622928","MATICUSDT","BUY",2.06077,10,20.6077,0.020733799999999997,"USDT","test","period-00","opened","USDT",0,"Стейкинг (Денис) недостача 243.7 монет"
"56455846","392059644","19.05.2021 07:43:03","1621399383494","MATICUSDT","BUY",2,10,20,0.0200081,"USDT","test","period-00","opened","USDT",0,"Стейкинг (Денис) недостача 243.7 монет"
"58803100","410005376","19.05.2021 15:47:37","1621428457263","MATICUSDT","BUY",1.90733,10,19.0733,0.0182,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу)"
"58804179","410008707","19.05.2021 15:47:48","1621428468962","MATICUSDT","SELL",1.90235,9.9,18.833265,0.01883327,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу)"
"59071443","410473416","19.05.2021 16:16:32","1621430192695","MATICUSDT","BUY",1.4934,35.2,52.56768,0.053774688,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу)"
"59071444","410473416","19.05.2021 16:16:32","1621430192701","MATICUSDT","BUY",1.4934,14.5,21.6543,0.022151505000000002,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу)"
"59071445","410473416","19.05.2021 16:16:32","1621430192726","MATICUSDT","BUY",1.4934,123.7,184.73358,0.188975253,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу)"
"59071446","410473416","19.05.2021 16:16:32","1621430192729","MATICUSDT","BUY",1.4934,26.6,39.72444,0.040636554,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу)"
"288654896","2216538776","19.05.2021 17:16:49","1621433809404","BNBUSDT","BUY",330.82,1,330.82,0.24795000000000003,"USDT","test","period-00","opened","USDT",0,"Затраты на комиссию в BNB"
"7049375","46053044","21.05.2021 18:24:46","1621610686945","TWTBTC","BUY",0.00001398,200,0.002796,0.000002796,"BTC","spot-classic","period-00","closed","BTC",1,"Спот-сделка классическая (не по сигналу) перевести в BTC"
"105451324","979167051","21.05.2021 18:33:07","1621611187304","TRXUSDT","BUY",0.08155,8286.3,675.747765,0.497532888,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу)"
"105451325","979167051","21.05.2021 18:33:07","1621611187304","TRXUSDT","BUY",0.08156,1713.7,139.769372,0.102890736,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу)"
"23194342","132017806","22.05.2021 11:08:22","1621670902911","CAKEUSDT","BUY",15.553,37.664,585.788192,0.4417947006,"USDT","test","period-00","opened","USDT",0,"Стандартная закупка на спот"
"23194343","132017806","22.05.2021 11:08:22","1621670902911","CAKEUSDT","BUY",15.554,44.515,692.38631,0.5221550097,"USDT","test","period-00","opened","USDT",0,"Стандартная закупка на спот"
"23194344","132017806","22.05.2021 11:08:22","1621670902911","CAKEUSDT","BUY",15.562,17.821,277.330402,0.20903756699999998,"USDT","test","period-00","opened","USDT",0,"Стандартная закупка на спот"
"106080580","985125170","23.05.2021 10:39:06","1621755546934","TRXUSDT","BUY",0.07176,3160.3,226.783128,0.1703560936,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу)"
"106080581","985125170","23.05.2021 10:39:06","1621755546934","TRXUSDT","BUY",0.07176,697,50.01672,0.037571426399999996,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу)"
"106080582","985125170","23.05.2021 10:39:06","1621755546934","TRXUSDT","BUY",0.07177,1142.7,82.011579,0.0615964032,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу)"
"106094292","985208436","23.05.2021 11:10:48","1621757448592","TRXUSDT","BUY",0.07,5000,350,0.26063801179999996,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу)"
"106195010","985229781","23.05.2021 15:27:35","1621772855418","TRXUSDT","BUY",0.065,5000,325,0.2418514835,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу)"
"106247406","985264413","23.05.2021 16:34:39","1621776879124","TRXUSDT","BUY",0.06,5000,300,0.22388629119999998,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу)"
"108171765","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.0719,1301.4,93.57066,0.09357066,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171766","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.0719,654.8,47.08012,0.04708012,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171767","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.0719,338.2,24.31658,0.02431658,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171768","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.0719,140.4,10.09476,0.01009476,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171769","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.0719,189.4,13.61786,0.01361786,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171770","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.07189,1391,99.99899,0.09999899,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171771","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.07189,342.5,24.622325,0.02462233,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171772","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.07189,246.5,17.720885,0.01772089,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171773","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.07189,246.5,17.720885,0.01772089,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171774","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.07188,143.7,10.329156,0.01032916,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171775","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.07188,153,10.99764,0.01099764,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171776","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.07188,270.6,19.450728,0.01945073,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171777","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.07188,700,50.316,0.050316,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171778","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.07187,347.8,24.996386,0.02499639,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171779","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.07187,488.4,35.101308,0.03510131,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171780","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.07187,253.7,18.233419,0.01823342,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
"108171781","994607316","28.05.2021 12:23:36","1622193816966","TRXUSDT","SELL",0.07187,253.7,18.233419,0.01823342,"USDT","spot-classic","period-00","closed","USDT",0,"Спот-сделка классическая (не по сигналу) плюс стейкинг"
