id,orderId,date,timestamp,symbol,type,price,amount,total,realizedPnl,marginCoin,fee,feeCoin,positionSide,leverage,invest,category
425107458,8389765494547710972,26.03.2021 21:33:59,1616783639423,ETHUSDT,SELL,1659.6,0.48,796.608,0,USDT,0.3186432,USDT,BOTH,2,398.304,f-classic
425107459,8389765494547710972,26.03.2021 21:33:59,1616783639423,ETHUSDT,SELL,1659.6,0.02,33.192,0,USDT,0.0132768,USDT,BOTH,2,16.596,f-classic
425199467,8389765494550504503,26.03.2021 23:38:00,1616791080617,ETHUSDT,SELL,1670.27,0.173,288.95671,0,USDT,0.11558268,USDT,BOTH,2,144.478355,f-classic
425199468,8389765494550504503,26.03.2021 23:38:00,1616791080617,ETHUSDT,SELL,1670.12,0.027,45.093240000000000,0,USDT,0.01803729,USDT,BOTH,2,22.54662,f-classic
428645718,8389765494643418733,29.03.2021 18:28:38,1617031718410,ETHUSDT,SELL,1770,0.5,885,0,USDT,0.177,USDT,BOTH,2,442.5,f-classic
428758748,8389765494643672606,29.03.2021 19:37:48,1617035868499,ETHUSDT,SELL,1800,0.3,540,0,USDT,0.108,USDT,BOTH,2,270,f-classic
429006339,8389765494650775695,29.03.2021 21:54:36,1617044076577,ETHUSDT,SELL,1832.44,0.5,916.22,0,USDT,0.366488,USDT,BOTH,2,458.11,f-classic
432665552,8389765494736748888,01.04.2021 02:01:26,1617231686534,ETHUSDT,SELL,1913.93,0.5,956.965,0,USDT,0.382786,USDT,BOTH,5,191.393,f-classic
433017007,8389765494745204291,01.04.2021 07:59:48,1617253188974,ETHUSDT,SELL,1919.09,0.655,1257.00395,0,USDT,0.50280158,USDT,BOTH,5,251.40079,f-classic
433017005,8389765494745204291,01.04.2021 07:59:48,1617253188974,ETHUSDT,SELL,1919.09,0.208,399.17072000000000,0,USDT,0.15966828,USDT,BOTH,5,79.834144,f-classic
433017006,8389765494745204291,01.04.2021 07:59:48,1617253188974,ETHUSDT,SELL,1919.09,0.137,262.91533,0,USDT,0.10516613,USDT,BOTH,5,52.583066,f-classic
434428326,8389765494772522491,02.04.2021 00:02:20,1617310940319,ETHUSDT,SELL,1976.12,1.5,2964.18,0,USDT,0.592836,USDT,BOTH,5,592.836,f-classic
435135434,8389765494787023528,02.04.2021 09:48:24,1617346104570,ETHUSDT,SELL,2000,1,2000,0,USDT,0.4,USDT,BOTH,5,400,f-classic
435813028,8389765494800481761,02.04.2021 17:52:34,1617375154237,ETHUSDT,SELL,2060.94,0.5,1030.47,0,USDT,0.206094,USDT,BOTH,5,206.094,f-classic
436416692,8389765494800637872,02.04.2021 23:36:51,1617395811058,ETHUSDT,SELL,2100,0.5,1050,0,USDT,0.21,USDT,BOTH,5,210,f-classic
436497670,8389765494812583132,03.04.2021 00:07:13,1617397633028,ETHUSDT,SELL,2100,0.5,1050,0,USDT,0.21,USDT,BOTH,5,210,f-classic
442283357,8389765494839431373,06.04.2021 03:59:15,1617670755089,ETHUSDT,SELL,2150,0.5,1075,0,USDT,0.215,USDT,BOTH,5,215,f-classic
452375912,8389765495123230406,12.04.2021 10:30:50,1618212650510,ETHUSDT,SELL,2200,0.467,1027.4,0,USDT,0.20548,USDT,BOTH,5,205.48,f-classic
452375911,8389765495123230406,12.04.2021 10:30:50,1618212650510,ETHUSDT,SELL,2200,0.033,72.60000000000000,0,USDT,0.01452,USDT,BOTH,5,14.52,f-classic
454450017,8389765495219829533,13.04.2021 17:29:58,1618324198312,ETHUSDT,SELL,2250,0.5,1125,0,USDT,0.225,USDT,BOTH,5,225,f-classic
454744715,8389765495231225078,13.04.2021 20:20:07,1618334407037,ETHUSDT,SELL,2300,0.5,1150,0,USDT,0.23,USDT,BOTH,5,230,f-classic
455433174,8389765495237061443,14.04.2021 06:28:55,1618370935921,ETHUSDT,SELL,2350,0.5,1175,0,USDT,0.235,USDT,BOTH,5,235,f-classic
455985714,8389765495264921438,14.04.2021 12:04:39,1618391079171,ETHUSDT,SELL,2365.46,0.38,898.8748,0,USDT,0.17977496,USDT,BOTH,5,179.77496,f-classic
455985715,8389765495264921438,14.04.2021 12:04:39,1618391079189,ETHUSDT,SELL,2365.46,0.62,1466.5852,0,USDT,0.29331703,USDT,BOTH,5,293.31704,f-classic
457397139,8389765495264974672,15.04.2021 00:26:02,1618435562197,ETHUSDT,SELL,2400,1,2400,0,USDT,0.48,USDT,BOTH,5,480,f-classic
458225330,8389765495315854237,15.04.2021 09:46:10,1618469170918,ETHUSDT,SELL,2475,0.5,1237.5,0,USDT,0.2475,USDT,BOTH,5,247.5,f-classic
459318245,8389765495316075345,15.04.2021 23:09:06,1618517346801,ETHUSDT,SELL,2500,0.5,1250,0,USDT,0.25,USDT,BOTH,5,250,f-classic
466323235,8389765495476983037,18.04.2021 15:17:27,1618748247729,ETHUSDT,BUY,2084.67,0.01,20.846700000000000,0.19463457,USDT,0.00833867,USDT,BOTH,5,,f-classic
468863580,8389765495477861488,19.04.2021 18:46:58,1618847218015,ETHUSDT,BUY,2080,2.99,6219.200000000000,72.1590385,USDT,1.24384,USDT,BOTH,5,,f-classic
476486710,8389765495690016081,22.04.2021 10:34:29,1619076869336,ETHUSDT,SELL,2478.48,1,2478.48,0,USDT,0.991392,USDT,BOTH,5,,f-classic
477618316,8389765495708029058,22.04.2021 16:06:15,1619096775842,ETHUSDT,SELL,2560,1,2560,0,USDT,0.512,USDT,BOTH,5,,f-classic
482912362,8389765495775716389,23.04.2021 10:34:06,1619163246071,ETHUSDT,BUY,2150,3.968,8531.2,92.52535344,USDT,1.70624,USDT,BOTH,5,,f-classic
482912361,8389765495775716389,23.04.2021 10:34:06,1619163246071,ETHUSDT,BUY,2150,0.82,1763,19.12066275,USDT,0.3526,USDT,BOTH,5,,f-classic
482912360,8389765495775716389,23.04.2021 10:34:06,1619163246071,ETHUSDT,BUY,2150,0.684,1470.6000000000000,15.94943088,USDT,0.29412,USDT,BOTH,5,,f-classic
482912359,8389765495775716389,23.04.2021 10:34:06,1619163246071,ETHUSDT,BUY,2150,0.528,1135.2,12.31184138,USDT,0.22704,USDT,BOTH,5,,f-classic
492479329,8389765495969612536,26.04.2021 08:59:46,1619416786501,ETHUSDT,SELL,2471.72,0.726,1794.4687200000000,0,USDT,0.71778748,USDT,BOTH,5,,f-classic
492479328,8389765495969612536,26.04.2021 08:59:46,1619416786501,ETHUSDT,SELL,2471.76,0.27,667.3752000000000,0,USDT,0.26695007,USDT,BOTH,5,,f-classic
492479327,8389765495969612536,26.04.2021 08:59:46,1619416786501,ETHUSDT,SELL,2471.76,0.004,9.88704,0,USDT,0.00395481,USDT,BOTH,5,,f-classic
493552273,8389765495990113323,26.04.2021 18:42:23,1619451743727,ETHUSDT,SELL,2500,0.511,1277.5,0,USDT,0.2555,USDT,BOTH,5,,f-classic
493552274,8389765495990113323,26.04.2021 18:42:23,1619451743727,ETHUSDT,SELL,2500,0.489,1222.5,0,USDT,0.2445,USDT,BOTH,5,,f-classic
495007369,8389765496024884332,27.04.2021 09:08:52,1619503732826,ETHUSDT,SELL,2550,1,2550,0,USDT,0.51,USDT,BOTH,5,,f-classic
496012743,8389765496042993361,27.04.2021 18:00:42,1619535642319,ETHUSDT,SELL,2650,0.782,2072.3,0,USDT,0.41446,USDT,BOTH,5,,f-classic
496012744,8389765496042993361,27.04.2021 18:00:42,1619535642320,ETHUSDT,SELL,2650,0.218,577.7,0,USDT,0.11554,USDT,BOTH,5,,f-classic
499484504,8389765496109007383,28.04.2021 22:29:16,1619638156760,ETHUSDT,SELL,2730,1,2730,0,USDT,0.546,USDT,BOTH,5,,f-classic
503322405,8389765496142953439,30.04.2021 12:05:20,1619773520118,ETHUSDT,SELL,2800,1,2800,0,USDT,0.56,USDT,BOTH,5,,f-classic
505214331,8389765496241948976,01.05.2021 10:31:04,1619854264724,ETHUSDT,SELL,2860,1,2860,0,USDT,0.57199999,USDT,BOTH,5,,f-classic
